Betweeness runtime: 16.029
BC results:
Node # 	| Betweenness
3466 	| 0.0463241
937 	| 0.00943473
5233 	| 0
8579 	| 0.00967906
10310 	| 0.236544
15931 	| 0.0811862
17038 	| 0.262489
18720 	| 0
19607 	| 0.000824122
1854 	| 0.0291008
4583 	| 0.00918067
9572 	| 0.693788
10841 	| 0.0731131
13056 	| 0.0988168
14982 	| 0
16310 	| 0.27409
19640 	| 0.193926
23855 	| 0.0918681
24372 	| 0
24814 	| 0.148609
5052 	| 0.659576
899 	| 0.00155918
1796 	| 0
2287 	| 0.100497
3096 	| 0.0586531
3386 	| 0.0935581
4472 	| 0.0337514
5346 	| 0.29735
5740 	| 0
6094 	| 0.0134343
6376 	| 0
9124 	| 0.195
10235 	| 0.0553416
10427 	| 0.0679529
10597 	| 0.0318135
15159 	| 0.00490966
16148 	| 0.425058
16741 	| 0.0699096
18235 	| 0
18549 	| 0
19297 	| 0.187327
20511 	| 0.290599
20595 	| 0.176637
20613 	| 0.0667468
24371 	| 0.308824
24559 	| 0.301332
24731 	| 0
25102 	| 0.0419084
25271 	| 0.108846
25396 	| 0.0833135
1658 	| 0.0297685
4822 	| 0
6864 	| 0
7689 	| 0.674385
7926 	| 0.113602
10268 	| 0.0400479
12971 	| 0
18600 	| 0.0324934
20421 	| 0.0217837
20886 	| 0
21048 	| 0.0559383
22393 	| 0.0136023
23186 	| 0.0184502
23214 	| 0.0245144
23298 	| 0
23945 	| 0
24939 	| 0.029006
339 	| 0.131042
624 	| 0.117234
3731 	| 0
4743 	| 0.131308
5407 	| 0
6610 	| 0.344788
6700 	| 0.183611
8045 	| 0.123334
9099 	| 0
9639 	| 0.08217
9785 	| 0.195943
12141 	| 0.0162747
15184 	| 0.0427608
15784 	| 0.0204283
18719 	| 0.0365737
19870 	| 0.0412503
20532 	| 0.0375073
22527 	| 0.0940574
23576 	| 0.0163443
23577 	| 0
23649 	| 0
24199 	| 0.0222535
24293 	| 0.124968
25201 	| 0.012923
10243 	| 0.0385798
6774 	| 0.0595866
8049 	| 0
8053 	| 0
8517 	| 0.00446483
11964 	| 0.0582583
15538 	| 0.0662494
16694 	| 0.0175313
18648 	| 0.00212611
19423 	| 0.191603
21012 	| 0.314614
22457 	| 0.338905
22691 	| 0.26404
23452 	| 0.0326565
16174 	| 0.00422738
16470 	| 0
17822 	| 0
14265 	| 0.532881
392 	| 0
2485 	| 0
2949 	| 0.0980034
3173 	| 0
3441 	| 0.0385353
3593 	| 0.02967
3853 	| 0
3927 	| 0
3937 	| 0.00300554
3939 	| 0.0528658
5107 	| 0.310919
5218 	| 0
5230 	| 0.0109487
6030 	| 0.0238742
7350 	| 0.212059
7504 	| 0.0610304
7601 	| 0
8718 	| 0
9522 	| 0.0600005
11621 	| 0.0275726
12498 	| 0.0149471
12691 	| 0
15251 	| 0
16020 	| 0.050345
16261 	| 0
17156 	| 0
17626 	| 0.117793
18622 	| 0
19059 	| 0.040894
19525 	| 0
19738 	| 0.0523004
20122 	| 0.0875027
20432 	| 0.0245115
21866 	| 0
22074 	| 0.142373
23721 	| 0
8916 	| 0.0652742
13556 	| 0.319479
14485 	| 0.634743
8612 	| 0.128724
615 	| 0.0970145
743 	| 0.0376515
2076 	| 0
4515 	| 0.0182007
5773 	| 0
9482 	| 0.112924
10822 	| 0
11175 	| 0.0114684
11604 	| 0
14004 	| 0
15003 	| 0.0899102
15552 	| 0.133414
15814 	| 0.0910625
16083 	| 0.048641
17932 	| 0.0625164
20001 	| 0
20100 	| 0.121166
23481 	| 0
16258 	| 0.0546866
1356 	| 0.0067985
1727 	| 0.0758139
2752 	| 0.00494145
4125 	| 0.0165049
6667 	| 0
6825 	| 0
10039 	| 0.032649
10351 	| 0
11082 	| 0.0304127
14123 	| 0.0719692
16676 	| 0
21194 	| 0
10912 	| 0.00408607
14534 	| 0.0421135
17268 	| 0.0146835
19783 	| 0
21705 	| 0.0119371
22836 	| 0.00408607
2710 	| 0.603744
62 	| 0.0537642
106 	| 0.0491472
260 	| 0.0321648
2959 	| 0.0254734
3677 	| 0.078564
4708 	| 0
5172 	| 0.12914
5541 	| 0.0344744
5794 	| 9.43363e-005
5807 	| 0.102796
6575 	| 0.0609622
8458 	| 0
10601 	| 0
11401 	| 0
13026 	| 0.0107962
13205 	| 0.0159281
13659 	| 0.117393
13989 	| 0.0975427
14007 	| 0.0055859
14009 	| 0.0135731
14599 	| 0.688371
15301 	| 0
18757 	| 0.0525353
20934 	| 0.0104349
21543 	| 0.0367663
22184 	| 0.0449105
23647 	| 0.137173
23708 	| 0.346392
25916 	| 0.0731055
26023 	| 0
26051 	| 0.0081741
26100 	| 0
214 	| 0.0369173
5435 	| 0
6512 	| 0.0481136
10590 	| 0.0267963
23559 	| 0
1765 	| 0.0594361
3032 	| 0.0632882
5302 	| 0.140765
7383 	| 0.105025
7442 	| 0.197052
7768 	| 0.132559
13276 	| 0.368586
17266 	| 0.0569134
22415 	| 0.0642803
10794 	| 0
7050 	| 0.0190554
25850 	| 0
10113 	| 0.0292962
10657 	| 0
12130 	| 0.0916509
17172 	| 0.0109963
4846 	| 0.0617116
676 	| 0.265375
824 	| 0.0112974
2133 	| 0.00127833
